Disease,Precautions,Description,Diet Plan,Workout Instructions,Prescription,Top 5 Doctors
Fungal infection,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Fungal infection is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
Allergy,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Allergy is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
GERD,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",GERD is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
Chronic cholestasis,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Chronic cholestasis is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
Drug Reaction,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Drug Reaction is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
Peptic ulcer disease,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Peptic ulcer disease is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
AIDS,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",AIDS is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
Diabetes,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Diabetes is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
Gastroenteritis,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Gastroenteritis is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
Bronchial Asthma,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Bronchial Asthma is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
Hypertension,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Hypertension is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
Migraine,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Migraine is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
Cervical spondylosis,"Precautions vary; follow doctor's advice, maintain hygiene, and take prescribed medication.",Cervical spondylosis is a medical condition requiring proper diagnosis and treatment.,Balanced diet with necessary nutrients. Avoid trigger foods.,Light exercise as recommended. Avoid strenuous activities if symptoms persist.,Follow prescribed medication and treatment plan.,"Dr. A, Dr. B, Dr. C, Dr. D, Dr. E"
